pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2024-09-20	Two-level D- and A-optimal main-effects designs with run sizes one and two more than a multiple of four	arXiv	This paper is about a method to generate designs with small numbers of runs	"Hameed, M. S. I., Ares, J. N., Schoen, E. D., & Goos, P. (2024). Two-level D-and A-optimal main-effects designs with run sizes one and two more than a multiple of four. arXiv preprint arXiv:2409.13336."	paper-2	https://arxiv.org/abs/2409.13336	https://arxiv.org/abs/2409.13336
2023-01-23	Analysis of data from orthogonal minimally aliased response surface designs	Journal of Quality Technology	This paper is about a tailored analysis method for OMARS designs	"Hameed, M. S. I., Nunez Ares, J., & Goos, P. (2023). Analysis of data from orthogonal minimally aliased response surface designs. Journal of Quality Technology, 55(3), 366-384."	paper-1	https://doi.org/10.1080/00224065.2022.2151530	https://doi.org/10.1080/00224065.2022.2151530
